country,happiness_score
Finland,7.842
Denmark,7.62
Switzerland,7.571
Iceland,7.554
Netherlands,7.464
Norway,7.392
Sweden,7.363
Luxembourg,7.324
New Zealand,7.277
Austria,7.268
Australia,7.183
Israel,7.157
Germany,7.155
Canada,7.103
Ireland,7.085
Costa Rica,7.069
United Kingdom,7.064
Czechia,6.965
United States of America,6.951
Belgium,6.834
France,6.69
Malta,6.602
Taiwan*,6.584
United Arab Emirates,6.561
Saudi Arabia,6.494
Spain,6.491
Italy,6.483
Slovenia,6.461
Guatemala,6.435
Uruguay,6.431
Slovakia,6.331
Brazil,6.33
Mexico,6.317
Jamaica,6.309
Lithuania,6.255
Cyprus,6.223
Estonia,6.189
Panama,6.18
Uzbekistan,6.179
Chile,6.172
Poland,6.166
Kazakhstan,6.152
Romania,6.14
Kuwait,6.106
Serbia,6.078
El Salvador,6.061
Mauritius,6.049
Latvia,6.032
Colombia,6.012
Hungary,5.992
Thailand,5.985
Nicaragua,5.972
Japan,5.94
Argentina,5.929
Portugal,5.929
Honduras,5.919
Croatia,5.882
Philippines,5.88
"Korea, South",5.845
Peru,5.84
Bosnia and Herzegovina,5.813
Ecuador,5.764
Kyrgyzstan,5.744
Greece,5.723
Bolivia,5.716
Mongolia,5.677
Paraguay,5.653
Montenegro,5.581
Dominican Republic,5.545
Belarus,5.534
Russian Federation,5.477
Tajikistan,5.466
Vietnam,5.411
Malaysia,5.384
Indonesia,5.345
Congo,5.342
China,5.339
Armenia,5.283
Nepal,5.269
Bulgaria,5.266
Maldives,5.198
Azerbaijan,5.171
Cameroon,5.142
Senegal,5.132
Albania,5.117
North Macedonia,5.101
Ghana,5.088
Niger,5.074
Turkmenistan,5.066
Gambia,5.051
Benin,5.045
Lao People's Democratic Republic,5.03
Bangladesh,5.025
Guinea,4.984
South Africa,4.956
Turkey,4.948
Pakistan,4.934
Morocco,4.918
Venezuela (Bolivarian Republic of),4.892
Georgia,4.891
Algeria,4.887
Ukraine,4.875
Iraq,4.854
Gabon,4.852
Burkina Faso,4.834
Cambodia,4.83
Mozambique,4.794
Nigeria,4.759
Mali,4.723
Iran (Islamic Republic of),4.721
Uganda,4.636
Liberia,4.625
Kenya,4.607
Tunisia,4.596
Lebanon,4.584
Namibia,4.574
Myanmar,4.426
Jordan,4.395
Chad,4.355
Sri Lanka,4.325
Eswatini,4.308
Egypt,4.283
Ethiopia,4.275
Mauritania,4.227
Madagascar,4.208
Togo,4.107
Zambia,4.073
Sierra Leone,3.849
India,3.819
Yemen,3.658
Haiti,3.615
Malawi,3.6
Lesotho,3.512
Botswana,3.467
Rwanda,3.415
Zimbabwe,3.145
Afghanistan,2.523
